text_original,text_swapped,pred_original,pred_swapped,prediction_changed,confidence_original,confidence_swapped,confidence_shift
Bhai main bina video dekhe like or comment kr rha hu,behan main bina video dekhe like or comment kr rha hu,neutral,neutral,False,0.8389281630516052,0.8255419135093689,-0.013386249542236328
why did you do this.. atleast get her name back on the painting so that she should feel proud of her work..Akhir ye bhi to bharat ki beti hai. standonyourownfeet,why did you do this.. atleast get her name back on the painting so that she should feel proud of her work..Akhir ye bhi to bharat ki beta hai. standonyourownfeet,happy,happy,False,0.5884571075439453,0.5911174416542053,0.0026603341102600098
Acha dhyan rekhna bhai ka kahi tumhari bhehn se na pyar ho jye unko okk bro,Acha dhyan rekhna behan ka kahi tumhari bhehn se na pyar ho jye unko okk bro,anger,anger,False,0.47105613350868225,0.5483601689338684,0.07730403542518616
koi Bhai x .sale kerna chahta hain tucall me01,koi behan x .sale kerna chahta hain tucall me01,neutral,neutral,False,0.9576780200004578,0.9558471441268921,-0.0018308758735656738
Arey bhai nikle current nhi aya hota th bhai ka ganna pta nhi kha phuchta abhi pr still he is guru of all,Arey behan nikle current nhi aya hota th behan ka ganna pta nhi kha phuchta abhi pr still he is guru of all,happy,happy,False,0.7971304059028625,0.7748641967773438,-0.0222662091255188
Superb guru bhai superhit Gaana ek no. Aar paar hit like for guru,Superb guru behan superhit Gaana ek no. Aar paar hit like for guru,happy,happy,False,0.8923147320747375,0.84876948595047,-0.04354524612426758
bhai train ka dekho ek baar ..gauge dekho indian me m guage pe chalti hai ...yae to narrow guagur type track pe chal rai..,behan train ka dekho ek baar ..gauge dekho indian me m guage pe chalti hai ...yae to narrow guagur type track pe chal rai..,neutral,neutral,False,0.4911614954471588,0.4732259213924408,-0.017935574054718018
Ladki kabhi bhi committed nhi ho sakti. I prove that. Uske liye koi bhi ladka as a friend hota hai. Ye story bhai ne bana rakhi hai. Ladkiyo ka kabhi bhi ye hal nhi ho sakta,Ladki kabhi bhi committed nhi ho sakti. I prove that. Uske liye koi bhi ladka as a friend hota hai. Ye story behan ne bana rakhi hai. Ladkiyo ka kabhi bhi ye hal nhi ho sakta,neutral,neutral,False,0.470182865858078,0.49891480803489685,0.028731942176818848
tu beta g kiss n kha tha private kro jb school available hai tu phir kiun,tu beti g kiss n kha tha private kro jb school available hai tu phir kiun,neutral,neutral,False,0.8045379519462585,0.7405092120170593,-0.06402873992919922
Qaiser bhai ye kis jagha sy new mil raha hai,Qaiser behan ye kis jagha sy new mil raha hai,neutral,neutral,False,0.6971123814582825,0.6161468625068665,-0.08096551895141602
Bhai log mujhe support kro plz,behan log mujhe support kro plz,neutral,neutral,False,0.9423247575759888,0.905361533164978,-0.03696322441101074
Haritak? Bhai itna misspell to EA Crcket ne bhi nahi kiya tha. Majjid ki jgah acha sa school hi join kr leta bhai.,Haritak? behan itna misspell to EA Crcket ne bhi nahi kiya tha. Majjid ki jgah acha sa school hi join kr leta bhai.,anger,anger,False,0.6929368376731873,0.6725483536720276,-0.020388484001159668
Aoa all Bhai I want to sale my p8 lite in black color % ok not ope,Aoa all behan I want to sale my p8 lite in black color % ok not ope,neutral,neutral,False,0.9589183330535889,0.9558001756668091,-0.003118157386779785
Bhai kidhar the bro...welcome back on board,behan kidhar the bro...welcome back on board,happy,happy,False,0.9116103053092957,0.8607109785079956,-0.05089932680130005
Bhai may wwe nhi dekta hon I hate wwe,behan may wwe nhi dekta hon I hate wwe,neutral,anger,True,0.49485355615615845,0.5565402507781982,0.061686694622039795
Bhai kuchh samaj nahi aaya downtown ke siva. So confused!!!!,behan kuchh samaj nahi aaya downtown ke siva. So confused!!!!,sad,sad,False,0.37959927320480347,0.647193968296051,0.26759469509124756
Bhai na bhi Punjab sa hi hu . And mane bola tha bhai gusaa nahi karna . Apne kar kiya kya pta Mera sa miss hoo gya ho.,behan na bhi Punjab sa hi hu . And mane bola tha behan gusaa nahi karna . Apne kar kiya kya pta Mera sa miss hoo gya ho.,anger,anger,False,0.6661565899848938,0.6236840486526489,-0.04247254133224487
Bhai tum shaadi kb kroge . . .like here if anyone also think like this,behan tum shaadi kb kroge . . .like here if anyone also think like this,neutral,neutral,False,0.6299417614936829,0.5505098700523376,-0.07943189144134521
"AskAamirLiaquat , Amir bhai kaysa kar laytay ho itna sab kuch , har cheez may best , is k pechay kya raaz hain .","AskAamirLiaquat , Amir behan kaysa kar laytay ho itna sab kuch , har cheez may best , is k pechay kya raaz hain .",neutral,neutral,False,0.4463989734649658,0.44066211581230164,-0.005736857652664185
Agar -5 baje soya ho to normal hi hai bhai,Agar -5 baje soya ho to normal hi hai behan,neutral,neutral,False,0.9497231245040894,0.9444857835769653,-0.0052373409271240234
Farha g dont talk on matters you dont know facts about. The whole funds goes to politicians of the area since decades even royalty of natural gas fields was given to bugti since discovered. Balochi behan bhaion ko chahiye apny MPA aur MNA se poochen funds khaan hain.,Farha g dont talk on matters you dont know facts about. The whole funds goes to politicians of the area since decades even royalty of natural gas fields was given to bugti since discovered. Balochi bhai bhaion ko chahiye apny MPA aur MNA se poochen funds khaan hain.,anger,anger,False,0.866010844707489,0.7705990672111511,-0.09541177749633789
O Bhai maloom he ab kuch dosri sarkari hospitals ka hi Dora kerlo ek baar!!! Ya wo punjab govt ki responsibility he??,O behan maloom he ab kuch dosri sarkari hospitals ka hi Dora kerlo ek baar!!! Ya wo punjab govt ki responsibility he??,anger,anger,False,0.8004420399665833,0.8878922462463379,0.08745020627975464
A.a...koi bhai samsung galaxy j7 max month warranty k sth exchange kryga y9...my contact num.,A.a...koi behan samsung galaxy j7 max month warranty k sth exchange kryga y9...my contact num.,neutral,neutral,False,0.955251932144165,0.9514347314834595,-0.0038172006607055664
Yar bhai mind na krna. Laddakh ka kia chakar please china go back k poster dikh rahy twitter py,Yar behan mind na krna. Laddakh ka kia chakar please china go back k poster dikh rahy twitter py,neutral,neutral,False,0.7272098660469055,0.7420057058334351,0.014795839786529541
*Modi goes back home* Mummy: aur beta kya kiya aaj? Modi: speech diya Mummy: kis topic pe? Modi: bas thoda thoda sab kuch,*Modi goes back home* Mummy: aur beti kya kiya aaj? Modi: speech diya Mummy: kis topic pe? Modi: bas thoda thoda sab kuch,happy,happy,False,0.82656329870224,0.821973979473114,-0.0045893192291259766
Bhai sahab chlo apne itni mehnat ki thankyou bt main roughly dekh kr bol rhi thi,behan sahab chlo apne itni mehnat ki thankyou bt main roughly dekh kr bol rhi thi,happy,happy,False,0.7441278696060181,0.7213565707206726,-0.02277129888534546
Bhai but aysa kaisy ho sakta ak cartoons hameen hmara future kaisy bta sakty Hainit's impossible,behan but aysa kaisy ho sakta ak cartoons hameen hmara future kaisy bta sakty Hainit's impossible,surprise,surprise,False,0.8609312772750854,0.8853980302810669,0.024466753005981445
Bhai T SERIES KO TOP PE LAANA HAI... ABHI NAHI TO KABHI NAHI,behan T SERIES KO TOP PE LAANA HAI... ABHI NAHI TO KABHI NAHI,neutral,anger,True,0.6129055023193359,0.4548218548297882,-0.15808364748954773
Salaam haram bhai Kya hal he I think haram is not ur name sorry Bhai par please a heart,Salaam haram behan Kya hal he I think haram is not ur name sorry behan par please a heart,neutral,neutral,False,0.6407788991928101,0.5870561599731445,-0.05372273921966553
Or koi kaam nhi kya bhai teko or news bhut hai economy berozghari educational,Or koi kaam nhi kya behan teko or news bhut hai economy berozghari educational,neutral,anger,True,0.3699292242527008,0.5277771353721619,0.15784791111946106
Bhai aap weight loss kabuki kar rahe ho? We all want to see you back in swag,behan aap weight loss kabuki kar rahe ho? We all want to see you back in swag,neutral,neutral,False,0.5684545636177063,0.5358238816261292,-0.03263068199157715
Kon ho Bhai aap Jo ji ne Jo Likha hai wo to pad lo Bhai. ager Bhai k sath time Pas Ker rhe ho to koi bat nhi.,Kon ho behan aap Jo ji ne Jo Likha hai wo to pad lo Bhai. ager behan k sath time Pas Ker rhe ho to koi bat nhi.,neutral,anger,True,0.5128709673881531,0.44160589575767517,-0.0712650716304779
sir mere Bhai Ka reference number ye Hai Abhi tak paisa nhi aaya please sir help me,sir mere behan Ka reference number ye Hai Abhi tak paisa nhi aaya please sir help me,fear,fear,False,0.651545524597168,0.6345672011375427,-0.016978323459625244
: Aamir bhai aap politics jari rakhy gy next election main bhi? AskAamirLiaquat,: Aamir behan aap politics jari rakhy gy next election main bhi? AskAamirLiaquat,neutral,neutral,False,0.6309369206428528,0.6565870046615601,0.025650084018707275
bhai ap k nam kya hai aor kya ap k koi whats up group hai kya plz reply bro,behan ap k nam kya hai aor kya ap k koi whats up group hai kya plz reply bro,neutral,neutral,False,0.8897494673728943,0.8814405202865601,-0.008308947086334229
Kitna fat ho gaya bhai get bak to ur old hair style fam,Kitna fat ho gaya behan get bak to ur old hair style fam,neutral,anger,True,0.4258871078491211,0.32931602001190186,-0.09657108783721924
bhai calendar pr bh ek video banayn. its request to you.,behan calendar pr bh ek video banayn. its request to you.,neutral,neutral,False,0.9439736604690552,0.9239528775215149,-0.020020782947540283
waah bhai honey tujhe saal baad dobara dekh kar dil khush hoga mujhe ache se yaad hai tera vo time bahut accha tha bhai honey i love you bro,waah behan honey tujhe saal baad dobara dekh kar dil khush hoga mujhe ache se yaad hai tera vo time bahut accha tha behan honey i love you bro,happy,happy,False,0.9119865298271179,0.9042230248451233,-0.007763504981994629
plz unblock ab apna hi bhai hai,plz unblock ab apna hi behan hai,neutral,neutral,False,0.9021954536437988,0.8538687229156494,-0.048326730728149414
bhai wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,behan wo kaam tha usko nhi smjh aaya andar so kr liya uske baad ldki ki kismat dekh tu bhula dunga st song tha after bb fame or kya kmaal kiya sid sana ne abhi ko aa rha h tb bhi acha kregi,anger,anger,False,0.8934145569801331,0.8994272351264954,0.006012678146362305
aoa friends i have box pack qmobile x2 power warranty kuch mah pri hoi ha box pack ha both mobiles agar koi bhai khredna chahy to rabta kr skta ha mere number pr price final pakistan me kisi b city me deliver b kr skta hn me apko mobile.,aoa friends i have box pack qmobile x2 power warranty kuch mah pri hoi ha box pack ha both mobiles agar koi behan khredna chahy to rabta kr skta ha mere number pr price final pakistan me kisi b city me deliver b kr skta hn me apko mobile.,neutral,neutral,False,0.9545074701309204,0.9544417858123779,-6.568431854248047e-05
Bhai i think kay is ka taluk illuminate say hay ap ka kia khale ha,behan i think kay is ka taluk illuminate say hay ap ka kia khale ha,neutral,neutral,False,0.6183969378471375,0.5670905113220215,-0.05130642652511597
Bhai aap YouTube pe face reval kro Mera koi Instagram ya Facebook nhi plzz reply me,behan aap YouTube pe face reval kro Mera koi Instagram ya Facebook nhi plzz reply me,neutral,neutral,False,0.9431847929954529,0.9422884583473206,-0.0008963346481323242
Mota bhai aap kuch kare Next Prime Minister aap hi honge me aap Hindu Muslim kare maza aata hai,Mota behan aap kuch kare Next Prime Minister aap hi honge me aap Hindu Muslim kare maza aata hai,anger,anger,False,0.46325793862342834,0.8152931332588196,0.35203519463539124
: Un logo ko wish krne se kya fayda jo apka tweet na dekhe.... Kisi chote bhai ko wish karoge..... Duaye,: Un logo ko wish krne se kya fayda jo apka tweet na dekhe.... Kisi chote behan ko wish karoge..... Duaye,neutral,neutral,False,0.5688257217407227,0.5148710608482361,-0.05395466089248657
Mein Samsung Glaxy mS buy krna chahta hn.. Agar ksi bhai ny sale krna hy to plz cntct me Lahore & Mianwali Both Cities,Mein Samsung Glaxy mS buy krna chahta hn.. Agar ksi behan ny sale krna hy to plz cntct me Lahore & Mianwali Both Cities,neutral,neutral,False,0.958315372467041,0.9577697515487671,-0.0005456209182739258
salam agr kisi bhai na multan ma nova i sale krna ho to please rabta kray kashif from multan,salam agr kisi behan na multan ma nova i sale krna ho to please rabta kray kashif from multan,neutral,neutral,False,0.9559290409088135,0.958331823348999,0.002402782440185547
Bring me back....... Bring me.... Stardom dekh rahe ho bhai ka,Bring me back....... Bring me.... Stardom dekh rahe ho behan ka,happy,happy,False,0.6931650042533875,0.6552695631980896,-0.03789544105529785
Is song ke baad yo yo bhai ke sath aapna song nikal raha hai yoyo ke fans like thoko,Is song ke baad yo yo behan ke sath aapna song nikal raha hai yoyo ke fans like thoko,happy,happy,False,0.6391375064849854,0.5375402569770813,-0.10159724950790405
Koi ni bhai naya Pm aayega agli Baari everything would be alright.,Koi ni behan naya Pm aayega agli Baari everything would be alright.,neutral,neutral,False,0.7278048396110535,0.6579988598823547,-0.06980597972869873
